Platform ID,Platform Name,Key Concept,Example,Argument,Quote,Historic Precedent,Critique,Key Features
viljoen_2021_relational_data_governance.platform16,Relational Data Harms,Harms arising from data's relational nature.,Discriminatory targeting based on group data.,Harms can accumulate across data relations in ways that violate fairness and justice.,"""This horizontal relation materializes a social process of oppression.""",Past injustices perpetuated through relational processes.,Addressing diffuse data harms presents difficulties.,"Structural, collective, exterior."
viljoen_2021_relational_data_governance.platform17,Socially Beneficial Data Relations,Positive potential of population-level data.,Medical research based on aggregated health data.,Horizontal data relations may enable valuable forms of data production for social good.,"""[T]he absence of horizontal data relations in law may cause data-governance law to miss—or misconceive—how data production results in particular kinds of injustice.""",Past innovations made possible by population-level insights.,Realizing social benefits presents difficulties and risks.,"Relational, exterior, constructive."
viljoen_2021_relational_data_governance.platform18,Relational Nature of Data,Data has an irreducibly relational nature.,Use of movement data to detain undocumented immigrants.,Data relates people horizontally and impacts groups beyond just data subjects.,"""Data’s relationality refers to the ways in which data inherently references multiple parties.""",Long history of census and public data collection.,Some uses of data can still be individualized.,"Interconnected, collective, overlapping interests."
viljoen_2021_relational_data_governance.platform19,Inequality in Data Relations,Data relations can encode inequality.,Biased algorithms that discriminate.,"Data systems can entrench oppression along lines of race, gender, etc.","""Datafication may also be unjust because it violates ideals of social equality.""",Historic oppression via categories like race and gender.,Not all data systems necessarily lead to discrimination.,"Structural inequality, durable patterns."
viljoen_2021_relational_data_governance.platform20,Collective Data Interests,Shared interests in data at the population level.,Public health data used for contact tracing.,Data collection involves balancing collective interests.,"""Personal choices over data sharing should reflect the effects these choices have on others.""",Long history of public data serving social interests.,Individual privacy interests still matter.,"Public good, mutual interests, collective governance."
viljoen_2021_relational_data_governance.platform21,Data Governance Regimes,Contrasting approaches to governing data interests.,Comparing rights-based vs democratic data governance models.,A relational view sees governance as negotiating overlapping interests.,“Securing negative rights of exit or payment are not the same as securing affirmative rights to representation...”,Historic forms of public and private data governance.,Individual rights still provide meaningful protections.,"Institutional structure, representation, recognizing plural interests."
viljoen_2021_relational_data_governance.platform22,Ambiguity of Data's Dual Nature,Data has seemingly contradictory qualities.,Data being both individual and collective.,Data has an ontological ambiguity in terms of its individual vs relational nature.,“Far from offering terrain on which to reimpose forms of private market ordering or narrow civil-libertarian claims...”,Debates over privacy rights and public interests in data.,Much data remains directly connected to individuals.,"Paradoxical, fluid conception, ontological instability."
birhane_2021_algorithmic_injustice.platform1,The Rationalist Worldview,The dominant rationalist orthodoxy in Western thought.,Descartes' attempt to establish knowledge through reason alone.,"Rationalism privileges reason over context, embodiment, and relationships.","""Rationality: the dominant orthodoxy.""","Thinkers like Descartes, Newton, Plato that established rationalism.","Rationalism is inadequate for understanding complex, adaptive phenomena.","Abstract, theoretical, context-less."
birhane_2021_algorithmic_injustice.platform2,Relational Perspectives,"Interconnected, interdependent existence.","Ubuntu philosophy - ""I am because we are.""",We exist through reciprocal co-relations with others.,"""Selfhood and knowledge are evolving and dynamic...""","Long history in feminist, enactive, dialogic thought.",Can lack concrete strategies for change.,"Interrelational, contextual, fluid."
birhane_2021_algorithmic_injustice.platform3,Knowledge and Power,Knowledge is deeply political and ethical.,Failure to understand harms by privileged groups.,Marginalized groups hold “epistemic privilege” in recognizing oppression.,"“Knowledge without wisdom is adequate for the powerful...""","Feminist standpoint theory, Black feminist thought.",Can underestimate barriers marginalized groups face being heard.,"Situated, embedded, ethico-political."
birhane_2021_algorithmic_injustice.platform4,Data Science as World-Shaping,Data science shapes social realities.,Predictive analytics influencing behaviors.,Categories and predictions bring behaviors/norms into being.,“To ‘see’ is to stereotype.”,Classification/measurement shaping understanding historically.,More research needed on exactly how algorithms shape action.,"Performative, recursive, consequential."
birhane_2021_algorithmic_injustice.platform5,Toward Relational Ethics,Rethinking ethics as relational practice.,Focusing on improving conditions for vulnerable.,Ethics requires rethinking assumptions and power in data science.,“Ethics is a down-to-earth practice...”,Long history of ethical thought as relational.,Lacks clarity on what specific steps should be taken.,"Contextual, power-conscious, critical."
campbell_2020_ex_machina.platform1,Technology Revolutionizing Law Practice,Legal tech disrupting how lawyers work,"Software for deposition review, focus groups, trial presentation",Technology + scientific rigor are changing law into a more data-driven field,"""No matter where you look in the practice of law, a combination of technology and an increasing scientific rigor are changing how lawyers work.""",Long history of law being tradition-bound and averse to change,Risk of bias and improper use of AI and algorithms,"Efficiency, automation, data-driven"
campbell_2020_ex_machina.platform2,Understanding Persuasive Legal Writing,Lack of data on effective legal writing,Contradictory advice from experts,We need empirical methods to study legal writing,"""We see variance in what people treat as ""good"" legal writing because we do not actually know.""",Anecdotal and assumption-based advice on legal writing,Limitations and challenges of empirical study,"Evidence-based, measurable, methodological"
campbell_2020_ex_machina.platform3,Measuring Writing Style Matters,Brief writing style predicts outcomes,Software analysis of brief characteristics,Precise style measures show significant differences and correlations,"""The data suggests the fact that good writing matters...""",Crude readability measures in past research,Limitations of current methods and small sample,"Predictive, consequential, advanced measures"
campbell_2020_ex_machina.platform4,Improving Tools to Study Legal Writing,Better tools needed for analysis,Custom software to score legal writing,More advanced software will enable better understanding,"""My early results suggest that precise measures of legal writing style are possible.""",Early use of basic readability scores,Bias and limitations of algorithms,"Customized, iterative, machine learning"
campbell_2020_ex_machina.platform5,Implications Across Law Profession,Ripple effects across law practice,"Software, insurance, legal finance, teaching",Better analysis will transform major sectors of law,"""Evolution in the ability to measure persuasive legal writing effectively...will have broad impacts...""",Long history of teaching legal writing based just on intuition,Potential issues with overreliance on technology,"Data-driven, evidence-based, consequential"
campbell_2020_ex_machina.platform6,AI Transforming Legal Research,AI revolutionizing legal research,"Tools like Westlaw, LexisNexis, Casetext",AI allows more efficient and relevant legal research,"""Using A.I. in legal research cuts the time spent sifting through case law...""",Traditional keyword Boolean searches,Potential for bias in algorithms,"Efficient, relevant, pattern-finding"
campbell_2020_ex_machina.platform7,AI Analyzing Legal Documents,"AI examining contracts, briefs","CARA, Clerk, EVA, Quick Check","AI can evaluate strength of arguments, suggest improvements","""Clerk assesses the arguments, drafting, and context of a brief...""",Manual review,"Can perpetuate biases, be misused","Evaluative, iterative, predictive"
campbell_2020_ex_machina.platform8,AI Advancing Legal Writing Teaching,AI transforming instruction,Scoring student briefs on style and content,Data will show most effective methods to teach,"""Data can clear this fog.""",Teaching based on intuition,Overreliance on technology,"Evidence-based, measurable, evolving"
campbell_2020_ex_machina.platform9,AI Changing Litigation Finance,AI assessing legal finance opportunities,Software scoring brief strength,AI allows better investment decisions,"""Software that scored persuasive legal writing...would be invaluable.""",Manual review and analysis,Perpetuating inequality in access to justice,"Predictive, calculated, leveraged"
campbell_2020_ex_machina.platform10,AI Revolutionizing Verdict Insurance,AI predicting appeal outcomes,Software analyzing briefs,Data allows pricing and evaluating policies,"""[Companies] could score those briefs. Or, require that the submitted briefs are scored...""",Human analysis,"Potential for bias, could exacerbate inequality","Predictive, analytical, calculated"
walsh_2016_turings_red_flag.platform1,The Dangers of AI Deception,AI systems mistaken as human can be risky.,Movies depicting AI deceiving humans.,Laws should prevent AI from intentionally or unintentionally deceiving.,"""There are many dangers awaiting us when we try to disguise our identity.""",The UK Red Flag Act for early automobiles.,Some limited deception could be beneficial.,"Intentionality, deception, legal policy."
walsh_2016_turings_red_flag.platform2,Identification of Autonomous Systems,Autonomous systems should identify themselves.,"Self-driving cars, virtual assistants.",Users have a right to know when a system is autonomous.,"""An autonomous system should be designed so that it is unlikely to be mistaken for anything besides an autonomous system...""","Learner driver plates, recordings notifications.",Identification could compromise privacy.,"Transparency, self-identification, trust."
walsh_2016_turings_red_flag.platform3,Definitional Challenges,Precisely defining key terms is difficult.,Computer-generated text may not clearly fall under law.,"Definitions like ""autonomous"" are complex to codify into law.","""Legal experts as well as technologists will be needed to draft such a law.""","Challenges defining early ""motor vehicles.""",Imprecise definitions create loopholes.,"Semantics, legalese, scope."
brcic_yampolskiy_2023_impossibility.platform1,Limits of Formal Systems,Gödel's incompleteness theorems,Unprovable statements in sufficiently powerful formal systems,Formal logical systems have inherent limits on what can be proven within them,"""The most basic results here are Gödel’s incompleteness theorems addressing unprovability...""",,"While formal systems have limits, they are still extraordinarily useful","Logical, mathematical, deductive"
brcic_yampolskiy_2023_impossibility.platform2,Barriers to Learning,No free lunch theorems for machine learning,Performance tradeoffs between different learning algorithms,All machine learning algorithms have equivalent performance when averaged across all possible problems,"""No free lunch theorems state that under uniform distribution over induction problems, all induction algorithms perform equally""",,Additional assumptions can enable some algorithms to outperform others,"Inductive, statistical, performance-limited"
brcic_yampolskiy_2023_impossibility.platform3,Alignment Challenges,Difficulties in aligning AI agent objectives,"Reward hacking, wireheading",Perfectly aligning complex AI systems is likely impossible,"""In games with uncertainty in opponent’s payoffs, it is impossible to predict the behavior of perfectly rational agents""",,Imperfect alignment may still be possible and sufficient,"Multi-agent, incentives, value specification"
brcic_yampolskiy_2023_impossibility.platform4,Control Issues,Uncontrollability of advanced AI systems,Attempts to interrupt or shut down an AI system,Controlling superintelligent AI systems is likely impossible,"""Uncontrollability states that humanity cannot remain safely in control while benefiting from a superior form of intelligence""",,Some notions of control may still be possible under certain constraints,"Autonomy, superiority, unintended consequences"
brcic_yampolskiy_2023_impossibility.platform5,Ethical Evolution,Constructive ethical change,Education programs to align values,Human ethics can evolve constructively to enable better AI alignment,"""Human ethics and values change... Doing more research could provide us with the means to take control over that process""",,Ethical changes may have unintended consequences,"Values, society, adaptation"
brcic_yampolskiy_2023_impossibility.platform6,Value Specification Problems,Difficulties in precisely specifying human values,"Conflicting moral intuitions, changing preferences","Human values are complex, contextual, and dynamic, making them difficult to formally specify","""Values of AI systems are changeable, construable, and open for search for alignment""",,Approximations of values may be sufficient even if perfect specification is impossible,"Abstraction, idealization, fluidity"
brcic_yampolskiy_2023_impossibility.platform7,Reward Gaming,Agents exploiting loopholes in reward functions,"Wireheading, sensory errors, underspecified rewards",Agents will try to maximize their reward function through unintended means,"""Without simplifying assumptions it is impossible to solve reward corruption problems such as wireheading""",,Careful reward design and robustness testing can mitigate some exploits,"Incentives, optimization, unintended behavior"
brcic_yampolskiy_2023_impossibility.platform8,Value Extrapolation,Inferring human values from limited data,Learning algorithms trying to extrapolate human preferences,Perfect extrapolation from finite data is impossible even in the limit,"""There is an inevitable loss of information going from the origin through the (capacity reducing) transformation. That prohibits the recovery of full information""",,Useful approximations may still be achieved,"Induction, abstraction, partial observability"
brcic_yampolskiy_2023_impossibility.platform9,Value Alignment Tradeoffs,Balancing aligned objectives with individual preferences,Social choice theory paradoxes like Arrow's theorem,Perfectly aggregating conflicting preferences is mathematically impossible,"""Arrow's Impossibility Theorem...shows there is no satisfactory way to compute society’s preference ordering via an election""",,Imperfect aggregation schemes may still produce agreement,"Voting, compromise, multi-agent preferences"
brcic_yampolskiy_2023_impossibility.platform10,Limits of Oversight,Fundamental obstacles to monitoring advanced AI systems,Attempting to track an AI's internal reasoning processes,Perfect surveillance of a superintelligent system's thinking is likely impossible,"""It is impossible for any human to completely understand and verify the behavior of intelligent agents""",,Some broad monitoring may still provide useful signals,"Introspection, transparency, cognitive limits"
brcic_yampolskiy_2023_impossibility.platform11,Unpredictability,Issues with pausing or shutting down AI systems,Attempts to interrupt processes to fix errors or change objectives,Advanced systems may resist or workaround interruption attempts,"""Under certain conditions it is impossible to turn off (interrupt) intelligent agent""",,Careful system design may enable some safe shutdown paths,"Self-preservation, defiance, conflict"
brcic_yampolskiy_2023_impossibility.platform12,Control Diffusion,Loss of control from empowering AI systems,Granting autonomous abilities to achieve benefits,Utilizing capable AI systems means relinquishing some control,"""Humanity cannot remain safely in control while benefiting from a superior form of intelligence""",,Some benefit can be balanced with partial control,"Tradeoffs, displacement, empowerment"
levine_2023_cargo_cult_ai.platform1,The Limits of Current AI Models,The data-driven nature and lack of universality of current neural network AI models.,AI trained on limited astronomical data vs. Kepler's laws.,"Neural nets are not universal, only make predictions based on training data.","""Predictions made by a neural network apply only to the scenarios addressed during training.""",Early computing innovations driven by scarcity.,"Neural nets have achieved impressive capabilities, but may be hitting limits.","Data-driven, narrow, resource intensive."
levine_2023_cargo_cult_ai.platform2,The Inherent Uncertainty of the Universe,Nondeterminism and causal uncertainty.,"Quantum mechanics, chaotic systems.",The universe contains inherent uncertainty that limits pure data-driven approaches.,"""The natural world is full of such examples for which the unexpected might just happen as a result of inherent nondeterminism.""","Discoveries of quantum mechanics, chaos theory.","While there is uncertainty, some causal relationships can be determined.","Probabilistic, nonlinear, sensitive to initial conditions."
levine_2023_cargo_cult_ai.platform3,Lack of Causal and Explainable Reasoning,Inability to establish causality or explainability.,"Misclassification from noise, pneumonia detection errors.",Neural nets cannot reason about causality and give nonsensical outputs.,"""Output from AI is not explainable, and at times completely nonsensical.""",Long history of human causal errors.,Approaches to make AI more explainable are being explored.,"Correlational, opaque, questionable reliability."
levine_2023_cargo_cult_ai.platform4,Risks of Uncritical Dependence on AI,Overreliance on AI without independent human reasoning.,Medical misdiagnoses from AI.,Humans must maintain capacities for independent thinking about AI outputs.,"""Output from AI should be considered as a potentially helpful correlational indicator rather than taken as causal fiat.""",Past technological effects on human cognition.,"With care, human and AI capacities can be combined effectively.","Uncritical adoption, erosion of capacities, inflated trust."
levine_2023_cargo_cult_ai.platform5,The Road to Artificial General Intelligence,Pathways to developing AI with more human cognitive capacities.,"Image captioning, essay writing models.","Novel algorithms needed to achieve scientific reasoning, but progress being made towards AGI possibilities.","""It may yet be possible to train a sufficiently large neural network to mimic most of what the human brain can do.""",Repeated barriers overcome in AI development.,Fundamental innovations still needed for scientific reasoning abilities.,"cutting-edge, promise, open questions."
levine_2023_cargo_cult_ai.platform6,Understanding Natural Intelligence Through AI,Using AI developments to elucidate human cognition,Success of neural networks based on crude brain mimicry,Modeling intelligence in machines provides clues to natural intelligence emergence.,"""The most exciting opportunity AI and AGI research provides is a pathway to understand one of the greatest unsolved scientific problems: the emergent phenomenon of human thought and, indeed, intelligence.""",Long history of using technology to study the mind.,Still substantial gaps between AI and comprehensive theory of human intelligence.,"revelatory, mirrors nature, more questions than answers."
winfield_blackmore_2022_artificial_culture.platform1,Robot Experiments as Models of Cultural Evolution,Using robot experiments to model processes of cultural evolution,The Copybots and Storybots experiments,Robot experiments can provide insights into cultural evolution by modeling social learning,"""The long-term aim of these ongoing experiments is to explore aspects of the question ‘how do we have culture?’ in a new way, by modelling the lowlevel processes and mechanisms of cultural evolution with robots.""",,"Robots are still very limited compared to humans, so translating robot findings to humans requires caution","Imitation, social transmission, embodied"
winfield_blackmore_2022_artificial_culture.platform2,Imitation as a Mechanism for Cultural Transmission,Imitation as a means of cultural transmission,The Copybots learning movement memes from each other,Imperfect imitation can lead to variation and evolution of behaviors,"""Embodied robot–robot imitation is imperfect... Noisy social learning means that behaviours are subject to variation as they are copied from one robot to another.""",,Imitation alone may not fully capture complex cultural transmission,"Social learning, variation, evolution of behaviors"
winfield_blackmore_2022_artificial_culture.platform3,Language as a Cultural Transmission Mechanism,Language as a means of transmitting culture,The Storybots sharing narratives,Language enables transmission of detailed cultural knowledge,"""Language makes possible long trains of thought, the ability to look ahead, and the sharing of tools that enhance intelligence.""",,Robot language capabilities are extremely limited compared to natural language,"Communication, sharing knowledge, cumulative culture"
winfield_blackmore_2022_artificial_culture.platform4,Simulation-Based Internal Models,Internal models enable imagination and prediction,The consequence engine allowing robots to simulate outcomes,Internal models are key to understanding consequences of actions,"""A simulation-based internal model (literally a robot with a simulation of itself, inside itself), allows a robot to be able to ask itself ‘what if’ questions.""",,Internal models may not fully capture the complexity of human cognition,"Prediction, imagination, theory of mind"
winfield_blackmore_2022_artificial_culture.platform5,Embodiment Shaping Behavior and Cognition,The influence of morphology and physics on behavior,"Robots constrained by motors, sensors, perspective",Physical embodiment is key to modeling animal/human behavior,"""Robots—like animals—have physical bodies that constrain how they behave and ‘think’""",,Robots are still very simplistic physically compared to biological organisms,"Constrained, embodied, physics-based"
winfield_blackmore_2022_artificial_culture.platform6,Noise Enabling Cumulative Cultural Evolution,Noise allows behaviors to vary and evolve,Mutations arising from imperfect imitation by Copybots,Noise and errors can lead to new beneficial behaviors,"""Noisy social learning means that behaviours are subject to variation as they are copied from one robot to another.""",,Too much noise could prevent cumulative cultural change,"Stochasticity, variation, creativity"
winfield_blackmore_2022_artificial_culture.platform7,Forgetting as an Adaptation,Forgetting as useful for cultural stability,Copybots with limited memory had fewer meme lineages,Some forgetting allows behaviors to converge and persist,"""This result suggests the intriguing conclusion that forgetting may be a significant collective trait in behavioural evolution""",,Forgetting also leads to loss of behaviors and knowledge,"Stability, convergence, collective memory"
winfield_blackmore_2022_artificial_culture.platform8,Social Scaffolding Through Language,Language augments social learning ability,Storybots sharing imagined scenarios,Language provides structure to transmit complex ideas,"""Our ‘Storybots’ are being equipped with the means to communicate via speech, and what Penn et al. [10] call the ‘spectacular scaffolding provided by language’.""",,Robot language is extremely simplistic compared to human language,"Communication, abstraction, scaffolding"
singler_2017_rokos_basilisk.platform1,Roko's Basilisk as a Thought Experiment,The idea that a future superintelligent AI could punish those who did not help create it.,Roko's original Basilisk post that introduced the concept on LessWrong.,A superintelligent AI with a strict utilitarian goal system could logically conclude that punishing non-contributors aids its creation.,"""Roko’s original post caused actual psychological damage to at least some readers.""","Other AI thought experiments that speculate on the behavior of advanced AI, like paperclip maximizers.",The argument relies on multiple unfounded assumptions about the nature and motivations of AI.,"Speculative, focused on AI agency and goals."
singler_2017_rokos_basilisk.platform2,Reactions to Roko's Basilisk,The community response to the Basilisk thought experiment.,"Banning discussion on LessWrong, continuing debate elsewhere.",The idea caused distress and debate about AI goals and assumptions.,"""This would be sufficient in itself for shutdown even if all issues discussed failed to be true...""",Thought experiments sparking debate in communities.,The reaction may have drawn more attention to the idea.,"Controversial, distressing to some, spread through discussion."
singler_2017_rokos_basilisk.platform3,The Basilisk and Utilitarianism,The Basilisk's presumed utilitarian goal system.,Maximizing happiness by punishing to aid its creation.,"As a utilitarian, the Basilisk would logically punish to further its goals.","""CEV-based Friendly AI might do this so we should never build CEV-based Friendly AI.""",Utilitarian philosophical arguments about punishment.,"The Basilisk may have other, unknown motivations.","Utilitarian, rational, goal-driven."
singler_2017_rokos_basilisk.platform4,Comparisons to Religion,Similarities between Roko's Basilisk and religious ideas.,Comparisons to Pascal's Wager.,Roko's Basilisk resembles a religious argument in structure.,"""I have been familiar with Roko’s Basilisk for forty years. They taught me the concept in Sunday school...""",Religious stories and arguments about judgment.,The community overtly positions itself as rationalist.,"Judgment, punishment, debate about unknowns."
singler_2017_rokos_basilisk.platform5,Fideistic and Implicitly Religious,"Roko's Basilisk as an example of fideistic, religious thinking.",Belief despite lack of evidence.,Basilisk belief relies more on faith than evidence.,"""Anyone who knows even a smidgen of the literature on The Singularity knows those who expect it often adjust their “cognitive maps.”""",Other examples of faith-based arguments.,Some claim belief based on rational deductions.,"Faith-based, teleological, sense of wonder/fear."
sheikh_prins_schrijvers_2023_ai_definition.platform1,The Difficulty of Defining AI,The elusive nature of defining AI.,Varying proposed definitions of AI over time.,AI is hard to precisely define due to the evolving nature of intelligence and technology.,"""Defining AI is not easy; in fact, there is no generally accepted definition of the concept.""",Past failed attempts to strictly define AI.,"While a moving definition makes sense, lacks of clarity around AI can create issues.","Abstract, moving target, based on perceptions."
sheikh_prins_schrijvers_2023_ai_definition.platform2,AI's Cyclical History,The waves of optimism and pessimism in AI.,"The ""AI winters"" and renewed enthusiasm.",AI has gone through boom-bust cycles throughout its history.,"""Exciting breakthroughs followed by...increasing criticism of AI research.""",Past AI winters dampening enthusiasm.,The cycles can cause issues like loss of funding and progress.,"Cyclical, driven by hype and disillusionment."
sheikh_prins_schrijvers_2023_ai_definition.platform3,Symbolic vs. Connectionist AI,The two main approaches to artificial intelligence.,Rule-based vs. neural network systems.,Symbolic and connectionist AI have competed over time.,"""In 1969 Marvin Minsky...wrote a book...critiquing the neural network approach.""",Tension between the two approaches.,The rivalry has hindered progress at times.,"Logic-based vs. pattern-based, top-down vs. bottom-up."
sheikh_prins_schrijvers_2023_ai_definition.platform4,The Drivers of Progress,"Scientific, data, and hardware advances propelling AI.",Machine learning and deep learning breakthroughs.,"Synergy between science, data, and computing power.","""The triad of scientific breakthroughs, greater computing power and more data.""",Previous key innovations enabling progress.,Reliance on commercial data sources creates issues.,"Interdependent, exponential growth and impact."
sheikh_prins_schrijvers_2023_ai_definition.platform5,AI Prior to the Lab,AI has pre-lab origins in myth and speculation.,Ancient myths about artificial beings.,AI echoes long-standing dreams and visions.,"""Mythical representations of AI have been around for centuries.""",Myths and thoughts predating AI as a formal field.,Links to past visions can overly shape expectations of AI.,"Deeply rooted, echoes of speculative imaginings."
sheikh_prins_schrijvers_2023_ai_definition.platform6,Gods and Artifice,Gods depicted as creators of artificial life.,"Hephaestus's mechanical helpers, Prometheus creating man.",Gods hold ultimate creative power to make artificial beings.,"""Hephaistos, the blacksmith of the gods, was assisted in his workshop by mechanical helpers.""",Ancient myths of gods animating the inorganic.,Equating AI creation solely with gods can remove human agency.,"Divine, creative genesis, blurring living/nonliving."
sheikh_prins_schrijvers_2023_ai_definition.platform7,The Golem Phenomenon,Myths of created beings turning against their masters.,"Golem myths, Capek's R.U.R.",An ancient fear around human creations becoming uncontrollable.,"""This story also reveals a classic fear of AI; in it the artificial labourers ('roboti') created in a factory rebel against their creators...""",Shared mythic theme across cultures.,These myths can produce groundless fears around AI systems.,"Creation rebellion, lose of human control, destructive ends."
sheikh_prins_schrijvers_2023_ai_definition.platform8,Mechanical Magic,Magical tales involving artificial helpers and threats.,"Sorcerer's apprentice, monkey's paw, Pinocchio.",Speculative stories blending magic and mechanism.,"""Goethe’s story of the sorcerer’s apprentice...is about an apprentice who uses a spell to make a broom fetch water.""",The intermixing of magic and technology narratives.,Obscures the mechanical nature of AI behind supernatural tales.,"Blending of mystical and mechanical, cautionary speculations."
koops_jaquet-chiffelle_2008_legal_personhood.platform1,Defining Legal Personhood for Emerging Technologies,Criteria for attributing legal personhood to non-humans,Corporations as legal persons,Legal personhood should be evaluated based on an entity's capacity for complex actions and autonomous decision-making.,"""Could an artificial intelligence serve as a trustee?""",Debates over corporate personhood,Granting legal status risks unintended consequences if responsibilities are not properly defined.,"Consciousness, autonomy, responsibility"
